air_temp,aerosols,Land_Type
23.9,0.0875,Unknown
27.3,1.2855,Heat-Adapted Coastal Ecosystems
28.3,0.6677,Heat-Adapted Coastal Ecosystems
25.8,0.7394,Heat-Adapted Coastal Ecosystems
23.2,0.6923,Unknown
24.3,0.5685,Unknown
28.3,0.5672,Heat-Adapted Coastal Ecosystems
25.8,0.5149,Heat-Adapted Coastal Ecosystems
27.9,1.545,Heat-Adapted Coastal Ecosystems
23.1,0.3817,Unknown
24.3,0.1666,Unknown
25.0,0.3852,Heat-Adapted Coastal Ecosystems
22.0,0.2121,Unknown
22.2,0.3911,Unknown
14.3,0.3798,Unknown
24.6,0.2464,Unknown
24.9,0.3782,Unknown
23.7,0.3749,Unknown
25.7,1.3105,Heat-Adapted Coastal Ecosystems
21.6,0.6741,Unknown
26.8,0.6829,Heat-Adapted Coastal Ecosystems
26.1,1.2265,Heat-Adapted Coastal Ecosystems
25.9,0.3914,Heat-Adapted Coastal Ecosystems
19.6,0.2262,Unknown
28.2,0.1871,Heat-Adapted Coastal Ecosystems
28.9,0.2368,Heat-Adapted Coastal Ecosystems
24.4,0.2187,Unknown
27.5,0.3095,Heat-Adapted Coastal Ecosystems
27.4,0.8312,Heat-Adapted Coastal Ecosystems
31.0,1.0715,Heat-Adapted Coastal Ecosystems
28.7,1.4455,Heat-Adapted Coastal Ecosystems
31.2,0.1062,Heat-Adapted Coastal Ecosystems
32.7,0.307,Heat-Adapted Coastal Ecosystems
29.7,0.3169,Heat-Adapted Coastal Ecosystems
27.3,0.4779,Heat-Adapted Coastal Ecosystems
31.4,0.1327,Heat-Adapted Coastal Ecosystems
30.6,0.9121,Heat-Adapted Coastal Ecosystems
29.2,0.9711,Heat-Adapted Coastal Ecosystems
24.6,0.8117,Unknown
29.0,1.0443,Heat-Adapted Coastal Ecosystems
29.1,0.8267,Heat-Adapted Coastal Ecosystems
36.1,1.1182,Heat-Resilient Urban Infrastructure
34.9,0.7904,Heat-Adapted Coastal Ecosystems
23.7,0.7996,Unknown
34.9,1.6451,Heat-Adapted Coastal Ecosystems
36.2,0.5802,Heat-Resilient Urban Infrastructure
36.9,1.2962,Heat-Resilient Urban Infrastructure
32.1,0.9942,Heat-Adapted Coastal Ecosystems
36.5,0.3415,Heat-Resilient Urban Infrastructure
29.1,0.4202,Heat-Adapted Coastal Ecosystems
34.1,1.1948,Heat-Adapted Coastal Ecosystems
36.5,0.4041,Heat-Resilient Urban Infrastructure
35.9,1.1092,Heat-Resilient Urban Infrastructure
36.3,0.0614,Heat-Resilient Urban Infrastructure
36.1,0.1416,Heat-Resilient Urban Infrastructure
34.6,-0.0204,Heat-Adapted Coastal Ecosystems
31.4,1.1758,Heat-Adapted Coastal Ecosystems
34.4,0.1988,Heat-Adapted Coastal Ecosystems
30.2,0.121,Heat-Adapted Coastal Ecosystems
24.3,0.1501,Unknown
34.9,0.6336,Heat-Adapted Coastal Ecosystems
28.0,0.7618,Heat-Adapted Coastal Ecosystems
26.3,0.9021,Heat-Adapted Coastal Ecosystems
24.9,0.3942,Unknown
26.6,0.4873,Heat-Adapted Coastal Ecosystems
29.7,1.0395,Heat-Adapted Coastal Ecosystems
10.2,1.0851,Wetland Carbon Sink Restoration
30.6,0.7994,Heat-Adapted Coastal Ecosystems
25.3,0.3007,Heat-Adapted Coastal Ecosystems
31.7,1.5756,Heat-Adapted Coastal Ecosystems
25.6,0.0898,Heat-Adapted Coastal Ecosystems
25.7,0.4979,Heat-Adapted Coastal Ecosystems
28.1,0.1627,Heat-Adapted Coastal Ecosystems
24.6,0.2471,Unknown
24.7,0.1428,Unknown
24.2,-0.398,Unknown
21.1,-0.4733,Unknown
24.2,0.6708,Unknown
30.8,0.6613,Heat-Adapted Coastal Ecosystems
25.3,0.9964,Heat-Adapted Coastal Ecosystems
30.3,0.6497,Heat-Adapted Coastal Ecosystems
24.0,0.5308,Unknown
31.5,1.2374,Heat-Adapted Coastal Ecosystems
31.5,0.2099,Heat-Adapted Coastal Ecosystems
27.8,0.1876,Heat-Adapted Coastal Ecosystems
31.7,0.2539,Heat-Adapted Coastal Ecosystems
27.9,0.022,Heat-Adapted Coastal Ecosystems
28.5,0.3761,Heat-Adapted Coastal Ecosystems
31.5,0.4557,Heat-Adapted Coastal Ecosystems
31.5,0.5803,Heat-Adapted Coastal Ecosystems
31.7,0.1726,Heat-Adapted Coastal Ecosystems
26.9,1.4719,Heat-Adapted Coastal Ecosystems
29.1,0.3781,Heat-Adapted Coastal Ecosystems
27.8,0.2662,Heat-Adapted Coastal Ecosystems
28.3,0.6756,Heat-Adapted Coastal Ecosystems
28.5,0.2718,Heat-Adapted Coastal Ecosystems
22.3,0.023,Unknown
30.1,0.0957,Heat-Adapted Coastal Ecosystems
27.9,1.9776,Heat-Adapted Coastal Ecosystems
21.8,0.2231,Unknown
29.7,0.4128,Heat-Adapted Coastal Ecosystems
29.7,0.4628,Heat-Adapted Coastal Ecosystems
29.3,0.4288,Heat-Adapted Coastal Ecosystems
24.8,0.3615,Unknown
23.2,0.3998,Unknown
29.3,0.3399,Heat-Adapted Coastal Ecosystems
35.3,0.1938,Heat-Resilient Urban Infrastructure
34.4,0.343,Heat-Adapted Coastal Ecosystems
35.5,-0.0977,Unknown
26.0,0.1287,Heat-Adapted Coastal Ecosystems
25.9,0.1929,Heat-Adapted Coastal Ecosystems
31.4,0.2206,Heat-Adapted Coastal Ecosystems
28.4,0.2149,Heat-Adapted Coastal Ecosystems
28.8,0.9696,Heat-Adapted Coastal Ecosystems
32.2,0.5566,Heat-Adapted Coastal Ecosystems
30.9,0.2413,Heat-Adapted Coastal Ecosystems
28.8,0.2964,Heat-Adapted Coastal Ecosystems
30.6,0.1991,Heat-Adapted Coastal Ecosystems
26.8,0.2217,Heat-Adapted Coastal Ecosystems
31.0,0.1981,Heat-Adapted Coastal Ecosystems
30.2,0.1914,Heat-Adapted Coastal Ecosystems
29.8,1.0024,Heat-Adapted Coastal Ecosystems
30.4,0.8477,Heat-Adapted Coastal Ecosystems
30.3,0.3494,Heat-Adapted Coastal Ecosystems
28.6,1.0655,Heat-Adapted Coastal Ecosystems
32.2,0.175,Heat-Adapted Coastal Ecosystems
31.7,1.2156,Heat-Adapted Coastal Ecosystems
32.6,0.1594,Heat-Adapted Coastal Ecosystems
30.9,0.3829,Heat-Adapted Coastal Ecosystems
23.9,-0.2387,Unknown
32.3,0.4,Heat-Adapted Coastal Ecosystems
32.8,0.2171,Heat-Adapted Coastal Ecosystems
25.7,0.2139,Heat-Adapted Coastal Ecosystems
26.3,1.515,Heat-Adapted Coastal Ecosystems
31.6,0.1703,Heat-Adapted Coastal Ecosystems
29.9,0.1572,Heat-Adapted Coastal Ecosystems
26.9,1.597926982,Heat-Adapted Coastal Ecosystems
31.4,0.3715,Heat-Adapted Coastal Ecosystems
30.6,0.8686,Heat-Adapted Coastal Ecosystems
25.1,0.063,Heat-Adapted Coastal Ecosystems
25.3,0.0573,Heat-Adapted Coastal Ecosystems
28.8,0.1035,Heat-Adapted Coastal Ecosystems
29.1,0.1968,Heat-Adapted Coastal Ecosystems
32.3,0.8002,Heat-Adapted Coastal Ecosystems
32.9,0.2036,Heat-Adapted Coastal Ecosystems
34.6,0.0835,Heat-Adapted Coastal Ecosystems
32.6,2.97876616,Unknown
29.0,0.152055094,Heat-Adapted Coastal Ecosystems
29.4,3.044930324,Urban Air Quality Monitoring Network
34.4,1.97614536,Heat-Adapted Coastal Ecosystems
24.8,3.034781956,Urban Air Quality Monitoring Network
35.0,0.4559269,Heat-Resilient Urban Infrastructure
23.9,2.786534206,Unknown
32.1,0.32411635,Heat-Adapted Coastal Ecosystems
32.8,0.928400198,Heat-Adapted Coastal Ecosystems
33.4,3.304169009,Green Agriculture Initiatives
33.7,0.313926935,Heat-Adapted Coastal Ecosystems
32.3,0.905827935,Heat-Adapted Coastal Ecosystems
33.1,2.979705551,Unknown
31.1,0.816511214,Heat-Adapted Coastal Ecosystems
31.6,2.261790513,Unknown
31.5,2.951305419,Unknown
31.9,0.754738641,Heat-Adapted Coastal Ecosystems
32.7,1.453419651,Heat-Adapted Coastal Ecosystems
32.6,1.102737793,Heat-Adapted Coastal Ecosystems
29.4,2.950110776,Unknown
27.6,1.451281427,Heat-Adapted Coastal Ecosystems
32.5,1.815524118,Heat-Adapted Coastal Ecosystems
7.0,2.96247534,Unknown
23.1,1.054323299,Unknown
19.9,2.320631714,Wetland Carbon Sink Restoration
